0 0 0
0 1 1
0 2 2
0 3 3
0 4 4
0 5 5
0 6 6
0 8 8
0 9 9
0 10 10
0 11 11
0 12 12
0 13 13
0 14 14
0 16 16
1 1 2
1 1 4
1 2 3
1 2 5
1 3 6
1 4 5
1 4 9
1 5 6
1 5 8
1 5 10
1 6 9
1 6 11
1 8 9
1 8 13
1 9 10
1 9 12
1 9 14
1 9 16
1 10 11
1 10 13
1 11 14
1 13 14
2 2 2
2 2 4
2 2 6
2 2 8
2 3 5
2 3 9
2 4 6
2 4 10
2 5 5
2 5 9
2 5 11
2 5 13
2 6 6
2 6 8
2 6 10
2 6 12
2 6 14
2 8 10
2 8 14
2 9 9
2 9 11
2 9 13
2 10 10
2 10 14
2 10 16
2 11 13
2 12 14
2 13 13
2 14 14
3 3 4
3 3 8
3 3 12
3 4 11
3 5 6
3 5 10
3 5 14
3 6 9
3 6 13
3 8 11
3 9 10
3 9 14
3 11 12
3 11 16
3 13 14
4 4 8
4 4 16
4 5 5
4 5 9
4 5 13
4 6 6
4 6 14
4 8 12
4 9 9
4 9 13
4 10 10
4 10 14
4 11 11
4 14 14
5 5 6
5 5 8
5 5 10
5 5 12
5 5 14
5 5 16
5 6 9
5 6 11
5 6 13
5 8 9
5 9 10
5 9 14
5 10 11
5 10 13
5 11 14
5 12 13
5 13 14
5 13 16
6 6 6
6 6 8
6 6 10
6 6 14
6 6 16
6 8 10
6 8 14
6 9 9
6 9 11
6 9 13
6 10 12
6 10 14
6 11 13
6 14 14
6 14 16
8 8 8
8 8 16
8 9 13
8 10 10
8 10 14
8 11 11
8 13 13
8 14 14
9 9 10
9 9 12
9 9 16
9 10 11
9 10 13
9 11 14
9 13 14
10 10 14
10 11 13
10 12 14
10 14 14
11 11 12
11 13 14
12 12 16
13 13 14
13 13 16
14 14 14
14 14 16
